包厢开台分析2025-12-01 10:00:00至2025-12-03 10:00:00(空境·派对KTV（万象城店）),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包厢名称,包厢类型,区域名称,开台单号,开房计费模式,开房时间,关房时间,清洁时间,营业日,订房人,订房人部门,返房人,轮房人,商秘/外联,消费时长,时段,开房标签,预订渠道,账单备注,账单合计,应收金额,实收金额,赠送,抹零金额,调整金额,挂账金额,免单金额,房费折扣金额,酒水折扣金额,基本业绩,低消费,低消差额,计入低消金额,不计入低消金额,特饮金额,销售经理,营销经理,支付方式,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,微信支付,支付宝,会员支付,会员本金,会员赠送,现金,银行卡,服务员收款,员工信用扣款,付呗,店长签单,演绎提成,营销提成,过期取酒,美团,抖音,招待,扫码,会员停用,三倍储值活动,定金消费,高德
K07,电音中包,KTV区,Z-KT25120200041,线上午夜档5H纯唱（23:00—04:30）,2025-12-03 00:37:29,2025-12-03 04:54:48,,2025-12-02,,,,,,257,黄金档,,,,225,225,225,0,0,0,0,0,0,0,225,0,0,56,0,0,,,56,,,,,,,169,,,,,,,,,,,,,,
K11,电音小包,KTV区,Z-KT25120200040,线上午夜档5H酒水套餐（23:00—04:30）,2025-12-03 00:22:14,2025-12-03 04:55:02,,2025-12-02,,,,,,272,黄金档,,,,193,193,193,0,0,0,0,0,0,0,0,0,0,193,0,0,,,,,,,,,,,,,,,,,193,,,,,,,
K18,电音小包,KTV区,Z-KT25120200039,线上午夜档5H纯唱（23:00—04:30）,2025-12-02 23:02:03,2025-12-03 04:54:54,2025-12-03 04:33:39,2025-12-02,,,,,,352,黄金档,,,,133,133,133,0,0,0,0,0,0,0,133,0,0,40,0,0,,,,,,,,,,,,,,,,,133,,,,,,,
K13,电音大包,KTV区,Z-KT25120200038,买一送一(18:00-04:00),2025-12-02 22:17:03,2025-12-03 01:13:51,2025-12-03 00:48:00,2025-12-02,,,,,,176,黄金档,,,,307,307,276,0,0,0,0,0,0,0,276,0,0,0,0,0,,,276,,31,31,0,,,,,,,,,,,,,,,,,
K17,电音小包,KTV区,Z-KT25120200037,3H团购套餐,2025-12-02 22:12:32,2025-12-03 04:54:56,2025-12-03 01:44:03,2025-12-02,,,,,,402,黄金档,,,,269,269,269,0,0,0,0,0,0,0,70,0,0,199,0,0,,,,,,,,,,,,,,,,,269,,,,,,,
K15,电音中包,KTV区,Z-KT25120200036,线上黄金档3H纯唱（18:00—04:30）,2025-12-02 22:07:04,2025-12-03 04:54:59,2025-12-03 01:38:24,2025-12-02,,,,,,407,黄金档,,,,462,462,462,98,0,0,0,0,0,0,462,0,0,30,0,0,,,249,,,,,0,,,,,,,,,213,,,,,,,
K07,电音中包,KTV区,Z-KT25120200035,线上黄金档3H纯唱（18:00—04:30）,2025-12-02 21:29:11,2025-12-03 00:20:56,,2025-12-02,,,,,,171,黄金档,,,,183,183,183,38,0,0,0,0,0,0,183,0,0,0,0,0,,,,,,,,0,,,,,,,,,183,,,,,,,
K02,电音中包,KTV区,Z-KT25120200034,线上黄金档3H纯唱（18:00—04:30）,2025-12-02 21:24:40,2025-12-03 01:14:11,2025-12-03 00:56:13,2025-12-02,,,,,,229,黄金档,,,,183,183,183,0,0,0,0,0,0,0,183,0,0,,,,,,,,,,,,,,,,,,,,183,,,,,,,
K01,电音中包,KTV区,Z-KT25120200033,线上黄金档3H纯唱（18:00—04:30）,2025-12-02 21:10:27,2025-12-03 01:13:42,2025-12-03 00:41:19,2025-12-02,,,,,,243,黄金档,,,,189,189,189,0,0,0,0,0,0,0,189,0,0,6,0,0,,,,,,,,,,189,,,,,,,,,,,,,,
KKK,派对包,派对包,Z-KT25120200032,线上黄金档3H酒水套餐（18:00—04:30）,2025-12-02 21:07:23,2025-12-03 01:13:47,2025-12-03 00:03:39,2025-12-02,,,,,,246,黄金档,,,,1599,1599,1599,0,0,0,0,0,0,0,1006,0,0,593,0,0,,,,,,,,,,1599,,,,,,,,,,,,,,
K05,电音中包,KTV区,Z-KT25120200031,线上黄金档3H纯唱（18:00—04:30）,2025-12-02 21:03:05,2025-12-03 01:14:05,2025-12-03 00:34:07,2025-12-02,,,,,,251,黄金档,,,,213,213,213,0,0,0,0,0,0,0,213,0,0,30,0,0,,,,,,,,,,,,,,,,,213,,,,,,,
K06,电音中包,KTV区,Z-KT25120200030,3H团购套餐,2025-12-02 20:59:24,2025-12-03 01:14:01,2025-12-03 00:30:30,2025-12-02,,,,,,254,黄金档,,,,800,800,800,0,0,0,0,0,0,0,501,0,0,299,0,0,,,401,,,,,,,,,,,,,,,399,,,,,,
K20,电音小包,KTV区,Z-KT25120200029,会员酒套599/799/1399/2399,2025-12-02 20:57:50,2025-12-03 04:54:51,2025-12-03 02:29:17,2025-12-02,,,,,,477,黄金档,,,范冬秀,599,599,322,0,0,0,0,0,0,0,322,0,0,599,0,0,,,,,277,277,0,,,322,,,,,,,,,,,,,,
K08,电音中包,KTV区,Z-KT25120200028,线上黄金档3H纯唱（18:00—04:30）,2025-12-02 20:53:57,2025-12-03 01:13:59,2025-12-03 00:25:22,2025-12-02,,,,,,260,黄金档,,,,213,213,213,48,0,0,0,0,0,0,213,0,0,30,0,0,,,,,,,,0,,,,,,,,,213,,,,,,,
